X,Y
1,0.995827877123141
2,0.991753719139219
3,0.987725840752133
4,0.9835875877410527
5,0.9794139237513438
6,0.9751300792207924
7,0.970888333905579
8,0.9666941019003673
9,0.9623788852999239
10,0.9581262146622614
11,0.9538012135473336
12,0.9495055076711436
13,0.945295701068633
14,0.9410451820130168
15,0.9367896179277061
16,0.9324274173919558
17,0.9282115497507778
18,0.9240499288292193
19,0.9198515715685713
20,0.9156026258234482
21,0.9113382578635096
22,0.9071871880660113
23,0.902983316839704
24,0.8988351117700345
25,0.8947783240884303
26,0.8907949050039418
27,0.8868765021162622
28,0.8829377251595308
29,0.878953674076837
30,0.8748788838382225
31,0.870795306388992
32,0.8667690200558997
33,0.8627190639871561
34,0.8587137147144588
35,0.8547495846603302
36,0.8509125041731529
37,0.8471199638714697
38,0.8433706367014512
39,0.8395339035838092
40,0.8357178415974644
41,0.8318645913985949
42,0.8279469722488803
43,0.823987935994699
44,0.820226728153409
45,0.8164724814146793
46,0.8128522301653766
47,0.8093336970411044
48,0.8057908987602254
49,0.8023212895733759
50,0.7988470044138518
51,0.7953749582145295
52,0.7918442837454541
53,0.7883668735890332
54,0.7848316310457784
55,0.7814373631913322
56,0.7780665572639532
57,0.7747123798336761
58,0.7713710242849067
59,0.7680134827998254
60,0.7646494517375171
61,0.7613073620986711
62,0.7580090644868458
63,0.7547287844925007
64,0.7515029128962112
65,0.7482824992686427
66,0.7450317938357909
67,0.7418704865557751
68,0.7387628558020051
69,0.7357677296096492
70,0.7326952955615171
71,0.729582783525253
72,0.7265105674484943
73,0.723390532202557
74,0.7203010466362348
75,0.717321699273651
76,0.7143090545424384
77,0.7112672340752073
78,0.7082821386427113
79,0.7052990203964881
80,0.7023285148006563
81,0.6992832898057937
82,0.6962532323507469
83,0.6932826771463786
84,0.6902412070139302
85,0.68715099635677
86,0.6840561782290374
87,0.6810677986712199
88,0.678194397494217
89,0.6753098422617378
90,0.6723929537559256
91,0.6695715950166777
92,0.666764852207061
93,0.6638737126812603
94,0.6609841719102264
95,0.658047612540342
96,0.6550226265983765
97,0.652047972594545
98,0.6491656462271279
99,0.6462664648494363
100,0.643443506032325
101,0.6406338698542905
102,0.6377509591331139
103,0.6348250042022402
104,0.6317632316859246
105,0.628794768633745
106,0.6258412642114304
107,0.6230043542514427
108,0.6202666277855697
109,0.6175661192521597
110,0.614936971090267
111,0.6123482777310972
112,0.6097832012837812
113,0.6072580416750769
114,0.60481778949856
115,0.6024240310747319
116,0.6000844222733928
117,0.5978125965202177
118,0.5955923545233891
119,0.5933930828504951
120,0.5912605509130031
121,0.5891769902863464
122,0.5871058443903714
123,0.5850779196749704
124,0.5831225177634042
125,0.5811317561508648
126,0.5790540367782402
127,0.5770624888769198
128,0.575011925914585
129,0.5730151430233698
130,0.5711640212871129
131,0.5693234639276005
132,0.5675732907978907
133,0.565852732969545
134,0.5641131927546055
135,0.5624413441455146
136,0.5607134360063987
137,0.5589734912740922
138,0.557192874334077
139,0.5554481810604579
140,0.5536675430960989
141,0.5519011883601385
142,0.5501102362523115
143,0.5483331648041699
144,0.5464661354842493
145,0.54454641369062
146,0.5425735354958187
147,0.5406596615950823
148,0.5387450500231695
149,0.5367433622081771
150,0.5347110793468646
151,0.5326775567255881
152,0.530707648035147
153,0.5289069216702311
154,0.5270356166012842
155,0.5251376747903834
156,0.5233218012116575
157,0.5216283321203751
158,0.5199878482106485
159,0.5183906722509851
160,0.5167834965722347
161,0.515238982565701
162,0.5136348129358531
163,0.5119639337304331
164,0.5102598986786617
165,0.5085825654513982
166,0.5068310956683282
167,0.5051213076246936
168,0.5033747195544781
169,0.5015398326518833
170,0.49985429778307644
171,0.4982402954038316
172,0.4964791090886835
173,0.4946361284935885
174,0.49278833945375733
175,0.49081024991232586
176,0.4888059491835717
177,0.48682799073646227
178,0.4848450509112447
179,0.4827901370745215
180,0.48079298518011004
181,0.47885822399152045
182,0.47688240920164077
183,0.47498498600713734
184,0.47308036260894304
185,0.47118409521373056
186,0.469335309727193
187,0.46760099355040485
188,0.46589932109688126
189,0.4641822858096199
190,0.4625334709146633
191,0.4608990345654486
192,0.4593103436870198
193,0.4578011922271821
194,0.45636043131764803
195,0.45491055517290246
196,0.4535495543568676
197,0.45222068968036916
198,0.4508910080783706
199,0.4496538043717582
